Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Poster,totalSeasons,Error,code,message,data
Machete Kills,2013,R,11 Oct 2013,107 min,"Action, Crime, Thriller",Robert Rodriguez,"Kyle Ward, Robert Rodriguez, Marcel Rodriguez","Danny Trejo, Alexa PenaVega, Mel Gibson",The U.S. government recruits Machete to battle his way through Mexico in order to take down an arms dealer who looks to launch a weapon into space.,"English, Spanish","United States, Russia",https://m.media-amazon.com/images/M/MV5BMjA2MzUxMTM3M15BMl5BanBnXkFtZTgwMzA2NzkxMDE@._V1_SX300.jpg,,,,,
Dhoom 3,2013,Not Rated,20 Dec 2013,172 min,"Action, Crime, Drama",Vijay Krishna Acharya,"Vijay Krishna Acharya, Aditya Chopra","Aamir Khan, Katrina Kaif, Abhishek Bachchan","When Sahir, a circus entertainer trained in magic and acrobatics, turns into a thief to take down a corrupt bank in Chicago that ruined his father, Indian officers Jai and Ali are called to catch him.","Hindi, English","India, United States",https://m.media-amazon.com/images/M/MV5BM2E0NWJlNzYtZjFlZS00NDU4LWI0OTAtYTZlYjc2MmQ2MjdmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,,,,,
Inside Llewyn Davis,2013,R,10 Jan 2014,104 min,"Drama, Music","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen","Oscar Isaac, Carey Mulligan, John Goodman",A week in the life of a young singer as he navigates the Greenwich Village folk scene of 1961.,English,"United States, United Kingdom, France",https://m.media-amazon.com/images/M/MV5BMjAxNjcyNDQxM15BMl5BanBnXkFtZTgwNzU2NDA0MDE@._V1_SX300.jpg,,,,,
Skyfall,2012,PG-13,09 Nov 2012,143 min,"Action, Adventure, Thriller",Sam Mendes,"Neal Purvis, Robert Wade, John Logan","Daniel Craig, Javier Bardem, Naomie Harris","James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.","English, Turkish, Shanghainese, Portuguese, Japanese","United Kingdom, United States, Turkey",https://m.media-amazon.com/images/M/MV5BMWZiNjE2OWItMTkwNy00ZWQzLWI0NTgtMWE0NjNiYTljN2Q1XkEyXkFqcGdeQXVyNzAwMjYxMzA@._V1_SX300.jpg,,,,,
Paranoia,2013,PG-13,16 Aug 2013,106 min,"Drama, Thriller",Robert Luketic,"Jason Hall, Barry L. Levy, Joseph Finder","Liam Hemsworth, Gary Oldman, Harrison Ford","An entry-level employee at a powerful corporation finds himself occupying a corner office, but at a dangerous price: he must spy on his boss's old mentor to secure for him a multi-billion dollar advantage.",English,"United States, India, France",https://m.media-amazon.com/images/M/MV5BMTUyNjYwMTYwM15BMl5BanBnXkFtZTcwNDA4NTc2OQ@@._V1_SX300.jpg,,,,,
Mandela: Long Walk to Freedom,2013,PG-13,25 Dec 2013,141 min,"Biography, Drama, History",Justin Chadwick,"William Nicholson, Nelson Mandela","Idris Elba, Naomie Harris, Terry Pheto",A chronicle of Nelson Mandela's life journey from his childhood in a rural village through to his inauguration as the first democratically elected president of South Africa.,"English, Afrikaans, Xhosa","United Kingdom, France, South Africa",https://m.media-amazon.com/images/M/MV5BMTg1NTQ1NDczNV5BMl5BanBnXkFtZTcwNDQyMDU1OQ@@._V1_SX300.jpg,,,,,
Black Nativity,2013,PG,27 Nov 2013,93 min,"Drama, Family, Music",Kasi Lemmons,"Langston Hughes, Kasi Lemmons","Forest Whitaker, Angela Bassett, Jennifer Hudson","A street-wise teen from Baltimore who has been raised by a single mother travels to New York City to spend the Christmas holiday with his estranged relatives, where he embarks on a surprising and inspirational journey.",English,United States,https://m.media-amazon.com/images/M/MV5BMTg3OTkxNzkwMl5BMl5BanBnXkFtZTgwOTcyNTE2MDE@._V1_SX300.jpg,,,,,
Nebraska,2013,R,24 Jan 2014,115 min,"Adventure, Comedy, Drama",Alexander Payne,Bob Nelson,"Bruce Dern, Will Forte, June Squibb","An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize.","English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BOGQzODdlMDktNzU4ZC00N2M3LWFkYTAtYTM1NTE0ZWI5YTg4XkEyXkFqcGdeQXVyMTA1NTM1NDI2._V1_SX300.jpg,,,,,
The Spectacular Now,2013,R,13 Sep 2013,95 min,"Drama, Romance",James Ponsoldt,"Scott Neustadter, Michael H. Weber, Tim Tharp","Miles Teller, Shailene Woodley, Kyle Chandler","A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical ""nice girl.""",English,United States,https://m.media-amazon.com/images/M/MV5BMjA5MTc0NTkzM15BMl5BanBnXkFtZTcwODEwNjE3OQ@@._V1_SX300.jpg,,,,,
The Grandmaster,2013,PG-13,30 Aug 2013,130 min,"Action, Biography, Drama",Kar-Wai Wong,"Kar-Wai Wong, Jingzhi Zou, Haofeng Xu","Tony Chiu-Wai Leung, Ziyi Zhang, Jin Zhang","The story of martial-arts master Ip Man, the man who trained Bruce Lee.","Mandarin, Cantonese, Japanese","Hong Kong, China",https://m.media-amazon.com/images/M/MV5BZTRiM2VmZTctY2Y0Ni00ZWJmLTg3MGUtMDA3ZmVkYWFkNzJhXkEyXkFqcGdeQXVyMjQ2MTk1OTE@._V1_SX300.jpg,,,,,
Amour,2012,PG-13,20 Sep 2012,127 min,Drama,Michael Haneke,Michael Haneke,"Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert","Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tes...","French, English","Austria, France, Germany",https://m.media-amazon.com/images/M/MV5BMTk1NTc3NDc4MF5BMl5BanBnXkFtZTcwNjYwNDk0OA@@._V1_SX300.jpg,,,,,
Rise of the Guardians,2012,PG,21 Nov 2012,97 min,"Animation, Action, Adventure",Peter Ramsey,"David Lindsay-Abaire, William Joyce","Hugh Jackman, Alec Baldwin, Isla Fisher","When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world.","English, French",United States,https://m.media-amazon.com/images/M/MV5BMTkzMjgwMDg1M15BMl5BanBnXkFtZTcwMTgzNTI1OA@@._V1_SX300.jpg,,,,,
All Is Lost,2013,PG-13,25 Oct 2013,106 min,"Action, Adventure, Drama",J.C. Chandor,J.C. Chandor,Robert Redford,"After a collision with a shipping container at sea, a resourceful sailor finds himself, despite all efforts to the contrary, staring his mortality in the face.",English,United States,https://m.media-amazon.com/images/M/MV5BMjI0MzIyMjU1N15BMl5BanBnXkFtZTgwOTk1MjQxMDE@._V1_SX300.jpg,,,,,
The Guilt Trip,2012,PG-13,19 Dec 2012,95 min,"Comedy, Drama",Anne Fletcher,"Dan Fogelman, Jason Conzelman","Barbra Streisand, Seth Rogen, Julene Renee","As inventor Andy Brewster is about to embark on the road trip of a lifetime, a quick stop at his mom's house turns into an unexpected cross-country voyage with her along for the ride.",English,United States,https://m.media-amazon.com/images/M/MV5BMTY5ODAxNDc0Nl5BMl5BanBnXkFtZTcwMzg0NDY1OA@@._V1_SX300.jpg,,,,,
Justin Bieber's Believe,2013,PG,25 Dec 2013,92 min,"Documentary, Music",Jon M. Chu,Sarah Landman Serafini,"Justin Bieber, Scooter Braun, Ryan Good",A backstage and on-stage look at Justin Bieber during his rise to super stardom.,English,United States,https://m.media-amazon.com/images/M/MV5BMjgzMDgxNjU1Ml5BMl5BanBnXkFtZTgwMDc3NTI2MDE@._V1_SX300.jpg,,,,,
The Bling Ring,2013,R,21 Jun 2013,90 min,"Biography, Crime, Drama",Sofia Coppola,"Sofia Coppola, Nancy Jo Sales","Katie Chang, Israel Broussard, Emma Watson","Inspired by actual events, a group of fame-obsessed teenagers use the internet to track celebrities' whereabouts in order to rob their homes.",English,"United States, United Kingdom, France, Germany, Japan",https://m.media-amazon.com/images/M/MV5BMTQzMTgwMzQxN15BMl5BanBnXkFtZTcwOTcwNTY0OQ@@._V1_SX300.jpg,,,,,
Pulling Strings,2013,PG,08 Nov 2013,111 min,"Comedy, Romance",Pitipol Ybarra,"Georgina Garcia Riedel, Issa López, Gabriel Ripstein","Laura Ramsey, Jaime Camil, Omar Chaparro","After a night of drinking, Rachel (Laura Ramsey), a diplomat working in Mexico City finds her world turned upside down after she's saved by Alejandro (Jaime Camil), a Mariachi singer whose visa was rejected the day before - by Rac...","English, Spanish",Mexico,https://m.media-amazon.com/images/M/MV5BMTk4NjAxMTYyMF5BMl5BanBnXkFtZTgwOTY4MDEzMDE@._V1_SX300.jpg,,,,,
Closed Circuit,2013,R,28 Aug 2013,96 min,"Crime, Drama, Mystery",John Crowley,Steven Knight,"Eric Bana, Rebecca Hall, Jim Broadbent",A high-profile terrorism case unexpectedly binds together two ex-lovers on the defense team - testing the limits of their loyalties and placing their lives in jeopardy.,English,"United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BMjc3MTU2MzI2Ml5BMl5BanBnXkFtZTcwMzI3ODI2OQ@@._V1_SX300.jpg,,,,,
"Monsters, Inc.",2001,G,02 Nov 2001,92 min,"Animation, Adventure, Comedy","Pete Docter, David Silverman, Lee Unkrich","Pete Docter, Jill Culton, Jeff Pidgeon","Billy Crystal, John Goodman, Mary Gibbs","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",English,United States,https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@._V1_SX300.jpg,,,,,
The Wizard of Oz,1939,G,25 Aug 1939,102 min,"Adventure, Family, Fantasy","Victor Fleming, George Cukor, Mervyn LeRoy","Noel Langley, Florence Ryerson, Edgar Allan Woolf","Judy Garland, Frank Morgan, Ray Bolger","Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the other...",English,United States,https://m.media-amazon.com/images/M/MV5BNjUyMTc4MDExMV5BMl5BanBnXkFtZTgwNDg0NDIwMjE@._V1_SX300.jpg,,,,,
Top Gun,1986,PG,16 May 1986,110 min,"Action, Drama",Tony Scott,"Jim Cash, Jack Epps Jr., Ehud Yonay","Tom Cruise, Tim Robbins, Kelly McGillis","As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",English,United States,https://m.media-amazon.com/images/M/MV5BZjQxYTA3ODItNzgxMy00N2Y2LWJlZGMtMTRlM2JkZjI1ZDhhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,,,,,
Hubble 3D: Deep Space,2015,N/A,30 Sep 2015,N/A,"Short, Sci-Fi",N/A,N/A,N/A,N/A,English,Portugal,https://m.media-amazon.com/images/M/MV5BNDNjYjJlNDUtYTZmOC00MGFlLWI5YWQtNzJkYjRlZGIxZDFkXkEyXkFqcGdeQXVyMjUyMDgyMDA@._V1_SX300.jpg,,,,,
Chennai Express,2013,Not Rated,08 Aug 2013,141 min,"Action, Comedy, Drama",Rohit Shetty,"K. Subhash, Yunus Sajawal, Robin Bhatt","Deepika Padukone, Shah Rukh Khan, Sathyaraj",A man heading towards Rameshwaram via Chennai express to immerse his late grandfather's ashes unwillingly gets caught amidst goons after helping their boss's daughter and them board the train.,"Hindi, Tamil, English, Marathi",N/A,https://m.media-amazon.com/images/M/MV5BZGFmMzQwNzEtZTIwNy00Nzc4LTk1YzEtYWFmNWUxZDYwODcwL2ltYWdlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,,,,,
The Company You Keep,2012,R,26 Apr 2013,125 min,"Drama, Thriller",Robert Redford,"Lem Dobbs, Neil Gordon","Robert Redford, Brit Marling, Stanley Tucci","After a journalist discovers his identity, a former Weather Underground activist goes on the run.",English,"United States, Canada",https://m.media-amazon.com/images/M/MV5BMTQ0NDQxOTY3M15BMl5BanBnXkFtZTcwNTE0MTExOQ@@._V1_SX300.jpg,,,,,
20 Feet from Stardom,2013,PG-13,26 Jul 2013,91 min,"Documentary, Biography, History",Morgan Neville,Morgan Neville,"Darlene Love, Merry Clayton, Lisa Fischer","Backup singers live in a world that lies just beyond the spotlight. Their voices bring harmony to the biggest bands in popular music, but we've had no idea who these singers are or what lives they lead, until now.","English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BMTQxNDY2NjMwNF5BMl5BanBnXkFtZTcwNzExMDg0OQ@@._V1_SX300.jpg,,,,,
Much Ado About Nothing,1993,PG-13,02 Jul 1993,111 min,"Comedy, Drama, Romance",Kenneth Branagh,"William Shakespeare, Kenneth Branagh","Kenneth Branagh, Emma Thompson, Keanu Reeves","Young lovers, and soon to wed, Hero and Claudio conspire to get verbal sparring partners and confirmed singles, Benedick and Beatrice, to wed as well.",English,"United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BY2Q3YTU4OTgtZTc0My00YmY1LWJmOTQtMmMwNGE2ZjBmNmIxXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,,,,,
Frances Ha,2012,R,23 Aug 2013,86 min,"Comedy, Drama, Romance",Noah Baumbach,"Noah Baumbach, Greta Gerwig","Greta Gerwig, Mickey Sumner, Adam Driver","A New York woman apprentices for a dance company and throws herself headlong into her dreams, even as the possibility of realizing them dwindles.","English, French","United States, Brazil",https://m.media-amazon.com/images/M/MV5BOTY0NDQ2NzQ2N15BMl5BanBnXkFtZTcwMTU0OTkwOQ@@._V1_SX300.jpg,,,,,
Yeh Jawaani Hai Deewani,2013,Not Rated,31 May 2013,160 min,"Drama, Musical, Romance",Ayan Mukerji,"Hussain Dalal, Ayan Mukerji","Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapoor","Kabir and Naina bond during a trekking trip. Before Naina can express herself, Kabir leaves India to pursue his career. They meet again years later, but he still cherishes his dreams more than bonds.","Hindi, English, French",India,https://m.media-amazon.com/images/M/MV5BODA4MjM2ODk4OF5BMl5BanBnXkFtZTcwNDgzODk1OQ@@._V1_SX300.jpg,,,,,
The To Do List,2013,R,26 Jul 2013,104 min,"Comedy, Romance",Maggie Carey,Maggie Carey,"Aubrey Plaza, Johnny Simmons, Bill Hader","Feeling pressured to become more sexually experienced before she goes to college, Brandy Klark makes a list of things to accomplish before hitting campus in the fall.","English, Spanish, Sanskrit",United States,https://m.media-amazon.com/images/M/MV5BMTcwMTIzNDk1M15BMl5BanBnXkFtZTcwNjUxMjQ2OQ@@._V1_SX300.jpg,,,,,
Metallica Through the Never,2013,R,04 Oct 2013,93 min,Music,Nimród Antal,"Nimród Antal, James Hetfield, Lars Ulrich","Dane DeHaan, James Hetfield, Lars Ulrich","Trip, a young roadie for Metallica, is sent on an urgent mission during the band's show. But what seems like a simple assignment turns into a surreal adventure.",English,United States,https://m.media-amazon.com/images/M/MV5BMjQwNjk5MTk4Ml5BMl5BanBnXkFtZTcwNTgwNDA5OQ@@._V1_SX300.jpg,,,,,
Emperor,2012,PG-13,27 Jul 2013,105 min,"Drama, History, War",Peter Webber,"Vera Blasi, David Klass, Shiro Okamoto","Matthew Fox, Colin Moy, Tommy Lee Jones","As the Japanese surrender at the end of World War II, General Fellers is tasked with deciding if Emperor Hirohito will be hanged as a war criminal. Influencing his ruling is his quest to find Aya, an exchange student he met years ...","English, Japanese","Japan, United States",https://m.media-amazon.com/images/M/MV5BMjI4OTcwMTY3N15BMl5BanBnXkFtZTcwMTI1MzcxOQ@@._V1_SX300.jpg,,,,,
Stand Up Guys,2012,R,01 Feb 2013,95 min,"Comedy, Crime, Thriller",Fisher Stevens,Noah Haidle,"Al Pacino, Christopher Walken, Alan Arkin",A pair of aging stickup men try to get the old gang back together for one last hurrah before one of the guys takes his last assignment - to kill his comrade.,"English, Belarusian",United States,https://m.media-amazon.com/images/M/MV5BMTgwNjgyOTExMV5BMl5BanBnXkFtZTcwNTIzODA1OA@@._V1_SX300.jpg,,,,,
The Fifth Estate,2013,R,18 Oct 2013,128 min,"Biography, Crime, Drama",Bill Condon,"Daniel Domscheit-Berg, David Leigh, Luke Harding","Benedict Cumberbatch, Daniel Brühl, Carice van Houten",A dramatic thriller based on real events that reveals the quest to expose the deceptions and corruptions of power that turned an Internet upstart into the 21st century's most fiercely debated organization.,"English, Icelandic, Swahili, Arabic","United States, India, Belgium",https://m.media-amazon.com/images/M/MV5BMjY1MTY5NTg3M15BMl5BanBnXkFtZTgwMDQyMjgwMDE@._V1_SX300.jpg,,,,,
Promised Land,2012,R,04 Jan 2013,106 min,Drama,Gus Van Sant,"John Krasinski, Matt Damon, Dave Eggers","Matt Damon, Frances McDormand, John Krasinski","A salesman for a natural gas company experiences life-changing events after arriving in a small town, where his corporation wants to tap into the available resources.",English,"United States, United Arab Emirates",https://m.media-amazon.com/images/M/MV5BMTQxNDYzNzgyOF5BMl5BanBnXkFtZTcwNTU0NTI1OA@@._V1_SX300.jpg,,,,,
The Twilight Saga: Breaking Dawn - Part 2,2012,PG-13,16 Nov 2012,115 min,"Adventure, Drama, Fantasy",Bill Condon,"Melissa Rosenberg, Stephenie Meyer","Kristen Stewart, Robert Pattinson, Taylor Lautner","After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",English,United States,https://m.media-amazon.com/images/M/MV5BMTcyMzUyMzY1OF5BMl5BanBnXkFtZTcwNDQ4ODk1OA@@._V1_SX300.jpg,,,,,
Hyde Park on Hudson,2012,R,01 Feb 2013,94 min,"Biography, Comedy, Drama",Roger Michell,Richard Nelson,"Bill Murray, Laura Linney, Olivia Williams","The story of the love affair between FDR and his distant cousin Margaret ""Daisy"" Suckley, centered around the weekend in 1939 when the King and Queen of the United Kingdom visited upstate New York.",English,N/A,https://m.media-amazon.com/images/M/MV5BNjU1MzU3Nzc4OF5BMl5BanBnXkFtZTcwOTk5NDI4Nw@@._V1_SX300.jpg,,,,,
In a World...,2013,R,13 Sep 2013,93 min,Comedy,Lake Bell,Lake Bell,"Lake Bell, Fred Melamed, Michaela Watkins",An underachieving voice coach finds herself competing in the movie trailer voice-over profession against her arrogant father and his protégé.,"English, Russian",United States,https://m.media-amazon.com/images/M/MV5BMTU0NzE0Mzg3M15BMl5BanBnXkFtZTcwNzY2MDY3OQ@@._V1_SX300.jpg,,,,,
To the Arctic 3D,2012,G,20 Apr 2012,40 min,"Documentary, Short",Greg MacGillivray,Stephen Judson,"Meryl Streep, Leanne Allison, Karsten Heuer",A journey into the lives of a mother polar bear and her two seven-month-old cubs as they navigate the changing Arctic wilderness they call home.,English,United States,https://m.media-amazon.com/images/M/MV5BMTA2OTM4MjY0MTNeQTJeQWpwZ15BbWU3MDM4Mzg5NDc@._V1_SX300.jpg,,,,,
Home Run,2013,PG-13,19 Apr 2013,113 min,"Drama, Sport",David Boyd,"Brian Brightly, Candace Lee, Eric Newman","Scott Elrod, Dorian Brown Pham, Charles Henry Wyson","A pro ball player with a substance abuse problem is forced into rehab in his hometown, finding new hope when he gets honest about his checkered past, and takes on coaching duties for a misfit Little League team.",English,United States,https://m.media-amazon.com/images/M/MV5BZDIzN2UyNmUtN2U4ZS00NTZlLWE4NjItZTk5NjM4MDczZTcyXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,,,,,
Filly Brown,2012,R,19 Apr 2013,80 min,"Drama, Music","Youssef Delara, Michael D. Olmos","Youssef Delara, Michael D. Olmos, Victor Teran","Gina Rodriguez, Jenni Rivera, Lou Diamond Phillips",A promising hip-hop rhymer from Los Angeles finds herself in a gray area when a record producer offers her a compromising shot at stardom.,English,United States,https://m.media-amazon.com/images/M/MV5BMTU2ODA0OTI4Ml5BMl5BanBnXkFtZTcwMjM5MDkzOQ@@._V1_SX300.jpg,,,,,
Grace Unplugged,2013,PG,01 Sep 2014,102 min,"Drama, Music",Brad J. Silverman,"Brad J. Silverman, Brandon Rice, James Killian","AJ Michalka, Kelly Thiebaud, James Denton","Grace Trey is a phenomenal singer. But at the tender age of eighteen, after she gets the music break of a lifetime and is thrust into the ""real world"" - her faith is put to the test.",English,United States,https://m.media-amazon.com/images/M/MV5BMTA4MzY3MzA1MTZeQTJeQWpwZ15BbWU3MDY1MTE2Nzk@._V1_SX300.jpg,,,,,
The Sapphires,2012,PG-13,09 Aug 2012,103 min,"Biography, Comedy, Drama",Wayne Blair,"Keith Thompson, Tony Briggs","Chris O'Dowd, Deborah Mailman, Jessica Mauboy","It's 1968, and four young, talented Australian Aboriginal girls learn about love, friendship and war when their all-girl group The Sapphires entertain the US troops in Vietnam.","English, Aboriginal",Australia,https://m.media-amazon.com/images/M/MV5BMTQyNTk5MDk1OF5BMl5BanBnXkFtZTcwNjgyODYxOQ@@._V1_SX300.jpg,,,,,
Space Station 76,2014,R,08 Mar 2014,93 min,"Comedy, Drama, Sci-Fi",Jack Plotnick,"Jennifer Elise Cox, Sam Pancake, Jack Plotnick","Patrick Wilson, Liv Tyler, Marisa Coughlan","A 1970s version of the future, where personalities and asteroids collide.",English,United States,https://m.media-amazon.com/images/M/MV5BMTcxNzkzNzg1N15BMl5BanBnXkFtZTgwMjIwMDgyMjE@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
The Gatekeepers,2012,PG-13,14 Mar 2013,101 min,"Documentary, History, War",Dror Moreh,N/A,"Ami Ayalon, Avraham Shalom, Avi Dichter","A documentary featuring interviews with all surviving former heads of Shin Bet, the Israeli security agency whose activities and membership are closely held state secrets.","Hebrew, English","Israel, France",https://m.media-amazon.com/images/M/MV5BMTYyMDg3NjYyMl5BMl5BanBnXkFtZTcwOTcyNDY4OA@@._V1_SX300.jpg,,,,,
I'm in Love with a Church Girl,2013,PG,06 Dec 2013,118 min,"Crime, Drama, Romance",Steve Race,Galley Molina,"Zahn McClarnon, Martin Kove, Michael Madsen","Miles Montego was king of the streets as a high-level drug trafficker. When Miles meets Vanessa, he's drawn to her beauty and her spirituality. As their connection grows, both are tested to their last ounce of faith in God in each...",English,United States,https://m.media-amazon.com/images/M/MV5BMTU3MjA1MjY1NV5BMl5BanBnXkFtZTcwOTMxOTg3OQ@@._V1_SX300.jpg,,,,,
No,2012,R,09 Aug 2012,118 min,"Drama, History",Pablo Larraín,"Pedro Peirano, Antonio Skármeta","Gael García Bernal, Alfredo Castro, Antonia Zegers",An advertising executive comes up with a campaign to defeat Augusto Pinochet in Chile's 1988 referendum.,Spanish,N/A,https://m.media-amazon.com/images/M/MV5BMTM3ODAzNjcwMV5BMl5BanBnXkFtZTcwMTUzMjc4OA@@._V1_SX300.jpg,,,,,
Trance,2013,R,27 Mar 2013,101 min,"Crime, Drama, Mystery",Danny Boyle,"Joe Ahearne, John Hodge","James McAvoy, Rosario Dawson, Vincent Cassel",An art auctioneer becomes mixed up with a group of criminals partners with a hypnotherapist in order to recover a lost painting.,"English, French","United Kingdom, France, United States",https://m.media-amazon.com/images/M/MV5BMjMzNjU1MTg5NF5BMl5BanBnXkFtZTcwMTExMTcwOQ@@._V1_SX300.jpg,,,,,
Renoir,2012,R,02 Jan 2013,111 min,"Biography, Drama, History",Gilles Bourdos,"Jacques Renoir, Gilles Bourdos, Jérôme Tonnerre","Michel Bouquet, Christa Théret, Vincent Rottiers","Set on the French Riviera in the summer of 1915, Jean Renoir -- son of the Impressionist painter, Pierre-Auguste -- returns home to convalesce after being wounded in World War I. At his side is Andrée, a young woman who rejuvenate...","French, Italian",France,https://m.media-amazon.com/images/M/MV5BMzk3Nzg0NDA0Nl5BMl5BanBnXkFtZTcwMTg1MTUxOQ@@._V1_SX300.jpg,,,,,
The East,2013,PG-13,28 Jun 2013,116 min,"Crime, Drama, Thriller",Zal Batmanglij,"Zal Batmanglij, Brit Marling","Brit Marling, Alexander Skarsgård, Elliot Page",An operative for an elite private intelligence firm finds her priorities changing dramatically after she is tasked with infiltrating an anarchist group known for executing covert attacks upon major corporations.,"English, American Sign ","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BMTYwNTk0NTEwOF5BMl5BanBnXkFtZTcwMDMzNDUyOQ@@._V1_SX300.jpg,,,,,
Oldboy,2003,R,21 Nov 2003,120 min,"Action, Drama, Mystery",Park Chan-wook,"Garon Tsuchiya, Nobuaki Minegishi, Park Chan-wook","Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",Korean,South Korea,https://m.media-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
Hotel Transylvania,2012,PG,28 Sep 2012,91 min,"Animation, Adventure, Comedy",Genndy Tartakovsky,"Peter Baynham, Robert Smigel, Todd Durham","Adam Sandler, Kevin James, Andy Samberg","Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter.",English,United States,https://m.media-amazon.com/images/M/MV5BMTM3NjQyODI3M15BMl5BanBnXkFtZTcwMDM4NjM0OA@@._V1_SX300.jpg,,,,,
Austenland,2013,PG-13,27 Sep 2013,97 min,"Comedy, Romance",Jerusha Hess,"Jerusha Hess, Shannon Hale","Keri Russell, JJ Feild, Jennifer Coolidge","Obsessed with Pride and Prejudice (1995), a woman travels to a Jane Austen theme park in search for her perfect gentleman.",English,"United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BMjE2MTUzMjgyNF5BMl5BanBnXkFtZTcwNjY4NDM4OQ@@._V1_SX300.jpg,,,,,
Krrish 3,2013,Not Rated,01 Nov 2013,152 min,"Action, Adventure, Sci-Fi",Rakesh Roshan,"Rakesh Roshan, Robin Bhatt, Honey Irani","Hrithik Roshan, Vivek Oberoi, Priyanka Chopra Jonas","Krrish and his scientist father must save the world and their own family from an evil man named Kaal and his gang of mutants, led by the ruthless Kaya.","Hindi, Telugu, Tamil",India,https://m.media-amazon.com/images/M/MV5BMjI0MzU3MTM1Ml5BMl5BanBnXkFtZTgwOTk2MjQ0MDE@._V1_SX300.jpg,,,,,
Blackfish,2013,PG-13,26 Jul 2013,83 min,Documentary,Gabriela Cowperthwaite,"Gabriela Cowperthwaite, Eli B. Despres, Tim Zimmermann","Tilikum, Dave Duffus, Samantha Berg","A documentary following the controversial captivity of killer whales, and its dangers for both humans and whales.","English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BNTkyNTkwMzkxMl5BMl5BanBnXkFtZTcwMzAwOTE2OQ@@._V1_SX300.jpg,,,,,
The Iceman,2012,R,02 May 2013,106 min,"Biography, Crime, Drama",Ariel Vromen,"Morgan Land, Ariel Vromen, Anthony Bruno","Michael Shannon, Chris Evans, James Franco","The story of Richard Kuklinski, the notorious contract killer and family man. When he was finally arrested in 1986, neither his wife nor his daughters had any clue about his real profession.",English,United States,https://m.media-amazon.com/images/M/MV5BNDQyMjM5MTc2OF5BMl5BanBnXkFtZTgwMzg1NTMxMjE@._V1_SX300.jpg,,,,,
Fill the Void,2012,PG,18 Oct 2012,90 min,"Drama, Romance",Rama Burshtein,Rama Burshtein,"Hadas Yaron, Yiftach Klein, Irit Sheleg","When the older sister of Shira, an 18-year-old Hasidic Israeli, dies suddenly in childbirth, Shira must decide if she can and should marry her widowed brother-in-law, which also generates tensions within her extended family.",Hebrew,Israel,https://m.media-amazon.com/images/M/MV5BNzQ3ODMyMjA1MV5BMl5BanBnXkFtZTcwMTIzMzEzOQ@@._V1_SX300.jpg,,,,,
