Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Poster,Error,totalSeasons,code,message,data
The Quiet,2005,R,23 Jul 2021,96 min,"Crime, Drama, Thriller",Jamie Babbit,"Abdi Nazemian, Micah Schraft","Camilla Belle, Elisha Cuthbert, Edie Falco","Following the unexpected death of her father, a deaf teenager moves in with her godparents, where she discovers the cruel behaviour of their daughter may be indicative of a dark secret within the family.","English, American Sign ",United States,https://m.media-amazon.com/images/M/MV5BMTQ4NDA4NDIyOV5BMl5BanBnXkFtZTcwNDM5OTQzMQ@@._V1_SX300.jpg,,,,,
Conversations with Other Women,2005,R,18 May 2007,84 min,"Comedy, Drama, Romance",Hans Canosa,Gabrielle Zevin,"Helena Bonham Carter, Aaron Eckhart, Yury Tsykun","When a man and woman flirt with each other at a wedding reception, the sexual tension seems spontaneous. As they break from the party to a hotel room, the flirtation turns into a night filled with passion and remorse.",English,"United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BMTg1NjIyNzc3M15BMl5BanBnXkFtZTcwMTE3NjUzMQ@@._V1_SX300.jpg,,,,,
Shadowboxer,2005,R,14 Jul 2006,93 min,"Action, Crime, Drama",Lee Daniels,Will Rokos,"Cuba Gooding Jr., Helen Mirren, Vanessa Ferlito","When an assassin is diagnosed with terminal cancer, she decides to carry out one final killing, assisted by her lover and stepson, Mikey.",English,United States,https://m.media-amazon.com/images/M/MV5BMTI4NTA5MzcxN15BMl5BanBnXkFtZTcwMzk2NDQzMQ@@._V1_SX300.jpg,,,,,
Ballets Russes,2005,Not Rated,19 Apr 2006,118 min,"Documentary, History, Music","Daniel Geller, Dayna Goldfine","Daniel Geller, Dayna Goldfine, Celeste Schaefer Snyder","Irina Baronova, Kenneth Kynt Bryan, Yvonne Chouteau","Ballets Russes is an intimate portrait of a group of pioneering artists -- now in their 70s, 80s and 90s -- who gave birth to modern ballet.",English,United States,https://m.media-amazon.com/images/M/MV5BMTIyNDU2MzY0Nl5BMl5BanBnXkFtZTcwNDE0NTQzMQ@@._V1_SX300.jpg,,,,,
Copying Beethoven,2006,PG-13,08 Mar 2007,104 min,"Biography, Drama, Music",Agnieszka Holland,"Stephen J. Rivele, Christopher Wilkinson","Ed Harris, Diane Kruger, Matthew Goode",A fictionalized account of the last year of Beethoven's life.,English,"Germany, United Kingdom, Hungary",https://m.media-amazon.com/images/M/MV5BNTIyNDk5MjE0N15BMl5BanBnXkFtZTcwOTMxNTkzMQ@@._V1_SX300.jpg,,,,,
Marilyn Hotchkiss' Ballroom Dancing & Charm School,2005,PG-13,12 Jan 2006,103 min,"Comedy, Drama, Musical",Randall Miller,"Randall Miller, Jody Savin","Robert Carlyle, Marisa Tomei, Mary Steenburgen",A widowed man's life turns upside down when he embarks on a journey to find a dying man's long lost love.,English,United States,https://m.media-amazon.com/images/M/MV5BMTYwMDg0Njk1M15BMl5BanBnXkFtZTcwODA4MDQzMQ@@._V1_SX300.jpg,,,,,
Derailed,2005,R,11 Nov 2005,108 min,"Crime, Drama, Thriller",Mikael Håfström,"Stuart Beattie, James Siegel","Clive Owen, Jennifer Aniston, Vincent Cassel","When two married business executives having an affair are blackmailed by a violent criminal, the two must turn the tables on him to save their families.","English, French","United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BZDI3OTdhOTAtZWIxOC00MDYxLTkxN2QtYjg3ODdlOTA4MGM1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,,,,
Chup Chup Ke,2006,Not Rated,09 Jun 2006,164 min,"Comedy, Drama, Romance","Priyadarshan, Kookie Gulati","Priyadarshan, Neeraj Vora, Meccartin","Shahid Kapoor, Kareena Kapoor, Om Puri","A debt-ridden young man attempts suicide, but is rescued only to find that his luck is finally turning.",Hindi,India,https://m.media-amazon.com/images/M/MV5BMTg3MTMzNjUwOF5BMl5BanBnXkFtZTcwODgxODMzMQ@@._V1_SX300.jpg,,,,,
The Devil and Daniel Johnston,2005,PG-13,05 May 2006,110 min,"Documentary, Biography, Music",Jeff Feuerzeig,Jeff Feuerzeig,"Daniel Johnston, Mabel Johnston, Bill Johnston","Daniel Johnston, manic-depressive genius singer/songwriter/artist is revealed in this portrait of madness, creativity and love.",English,United States,https://m.media-amazon.com/images/M/MV5BMjE0NTk1NzUyN15BMl5BanBnXkFtZTcwMDUyMzIzMQ@@._V1_SX300.jpg,,,,,
Gabrielle,2005,N/A,09 Sep 2005,90 min,"Drama, Romance",Patrice Chéreau,"Patrice Chéreau, Anne-Louise Trividic, Joseph Conrad","Isabelle Huppert, Pascal Greggory, Claudia Coli",The marriage between Gabrielle and Jean begins to fray after the discovery of a letter that belongs to Gabrielle.,French,"France, Italy, Germany",https://m.media-amazon.com/images/M/MV5BMDIyNmQ4ZWQtYzQ0OC00MTkzLWJkZWQtZjliZTM5NzA0YTFmL2ltYWdlXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg,,,,,
Zinda,2006,Not Rated,12 Jan 2006,116 min,"Action, Drama, Mystery",Sanjay Gupta,"Vishal Dadlani, Sanjay Gupta, Anwar Maqsood","Sanjay Dutt, John Abraham, Lara Dutta","A man, taken and locked up for 14 years without any sane reason, is suddenly released, and has 4 days to figure out why this was done to him.","Hindi, English, Thai",India,https://m.media-amazon.com/images/M/MV5BMmEzNzQ0ZGUtZWY0ZS00MmI1LWIzN2UtNmE5M2U5ODk3YzNlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,,,,,
Cheech,2006,N/A,10 Sep 2006,104 min,Drama,Patrice Sauvé,François Létourneau,"Patrice Robitaille, François Létourneau, Anick Lemay",A small time pimp is in hot water after his book of escorts is stolen.,French,Canada,https://m.media-amazon.com/images/M/MV5BMjA2NjgyMDYwMl5BMl5BanBnXkFtZTcwOTg3Mjc0NQ@@._V1_SX300.jpg,,,,,
The Road to Guantanamo,2006,R,09 Mar 2006,95 min,"Drama, War","Mat Whitecross, Michael Winterbottom",N/A,"Riz Ahmed, Farhad Harun, Waqar Siddiqui","Part drama, part documentary, The Road to Guantánamo focuses on the Tipton Three, a trio of British Muslims who were held in Guantanamo Bay for two years until they were released without charge.","English, Urdu",United Kingdom,https://m.media-amazon.com/images/M/MV5BMTQ2Njk1NDg0MV5BMl5BanBnXkFtZTcwMzQ2MTMzMQ@@._V1_SX300.jpg,,,,,
Russian Dolls,2005,Not Rated,15 Jun 2005,125 min,"Comedy, Drama, Romance",Cédric Klapisch,Cédric Klapisch,"Romain Duris, Kelly Reilly, Audrey Tautou","Five years after their summer together in Barcelona, Xavier, William, Wendy, Martine and Isabelle reunite.","French, Russian, English, Spanish, Italian","France, United Kingdom",https://m.media-amazon.com/images/M/MV5BNWIwY2UxZDgtYzkzNC00OWMyLWE4MjgtMjhhNTkwODg5YjY3XkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_SX300.jpg,,,,,
Letters from Iwo Jima,2006,R,02 Feb 2007,141 min,"Action, Adventure, Drama",Clint Eastwood,"Iris Yamashita, Paul Haggis, Tadamichi Kuribayashi","Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara","The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.","Japanese, English",United States,https://m.media-amazon.com/images/M/MV5BMjE0NzgwODI4M15BMl5BanBnXkFtZTcwNjg3OTA0MQ@@._V1_SX300.jpg,,,,,
Adam,2009,PG-13,28 Aug 2009,99 min,"Comedy, Drama, Romance",Max Mayer,Max Mayer,"Hugh Dancy, Rose Byrne, Peter Gallagher","Adam, a lonely man with Asperger's Syndrome, develops a relationship with his upstairs neighbor, Beth.",English,United States,https://m.media-amazon.com/images/M/MV5BMTkzNzk4NDYwNl5BMl5BanBnXkFtZTcwOTE2MTY1Mg@@._V1_SX300.jpg,,,,,
This Film Is Not Yet Rated,2006,NC-17,01 Sep 2006,98 min,Documentary,Kirby Dick,"Kirby Dick, Eddie Schmidt, Matt Patterson","Kirby Dick, Kimberly Peirce, Darren Aronofsky",Kirby Dick's exposé about the American movie ratings board.,English,"United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BMTk0NDIwMDUxNl5BMl5BanBnXkFtZTcwMzY3MzIzMQ@@._V1_SX300.jpg,,,,,
A History of Violence,2005,R,30 Sep 2005,96 min,"Action, Crime, Drama",David Cronenberg,"John Wagner, Vince Locke, Josh Olson","Viggo Mortensen, Maria Bello, Ed Harris","A mild-mannered man becomes a local hero through an act of violence, which sets off repercussions that will shake his family to its very core.",English,"United States, Canada",https://m.media-amazon.com/images/M/MV5BMTczMzIzMTQ1OV5BMl5BanBnXkFtZTYwMDQwNjk2._V1_SX300.jpg,,,,,
The Aryan Couple,2004,PG-13,13 Oct 2006,120 min,"Drama, War",John Daly,"John Daly, Kendrew Lascelles, Lance Miccio","Martin Landau, Kenny Doughty, Caroline Carver","A WWII Drama about a German/Jewish industrialist who, in order to ensure his family's safe passage out of Germany, is forced to hand over his business to the Nazis.",English,"United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BMjE4OTk1ODUzOV5BMl5BanBnXkFtZTcwODEyMzg0MQ@@._V1_SX300.jpg,,,,,
Only Human,2020,N/A,24 Sep 2020,91 min,Drama,Igor Ivanov Izi,"Igor Ivanov Izi, Sasho Kokalanov","Natasha Petrovic, Igor Angelov, Oliver Mitkovski","ONLY HUMAN - Homo - stages 6 profiles in 6 sequences cleverly interwoven. A dramatic story featuring desperate characters in their quest for survival and love, or redemption.","Macedonian, Albanian","North Macedonia, Serbia, Bulgaria, Slovenia, Kosovo",https://m.media-amazon.com/images/M/MV5BNDYyNzg3NjMtYmI2Ny00MjBmLThmNmYtZGYxMThlNjZkNDg2XkEyXkFqcGdeQXVyMzMyMDM4Mzg@._V1_SX300.jpg,,,,,
The King,2019,R,01 Nov 2019,140 min,"Biography, Drama, History",David Michôd,"David Michôd, Joel Edgerton","Tom Glynn-Carney, Gábor Czap, Tom Fisher","Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past ...","English, French, Latin","United Kingdom, Hungary, United States, Australia",https://m.media-amazon.com/images/M/MV5BMWZkNzNlMzMtMjM5ZS00MWYzLWFmMmUtMjE1ODM3NjBlODA5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,,,,,
The Boys of Baraka,2005,R,15 Oct 2005,84 min,Documentary,"Heidi Ewing, Rachel Grady",N/A,"Devon Brown, Darius Chambers, Edward Bernard Green Jr.","Twenty 12-year-old black boys from one of the most violent ghettos in Baltimore, Maryland, are taken 10,000 miles away to an experimental boarding school in rural Kenya, to try to take advantage of the educational opportunities th...",English,United States,https://m.media-amazon.com/images/M/MV5BMTgxMjYxNDg1Ml5BMl5BanBnXkFtZTcwODU3NzgyMQ@@._V1_SX300.jpg,,,,,
Kabul Express,2006,Not Rated,15 Dec 2006,105 min,"Adventure, Comedy, Drama",Kabir Khan,"Kabir Khan, Sandeep Shrivastava","John Abraham, Arshad Warsi, Salman Shahid",A thrilling story spanning 48 hours of five individuals linked by hate and fear but brought together by fate to finally recognize each other.,"Hindi, Dari, English, Urdu",India,https://m.media-amazon.com/images/M/MV5BNTk3YTliODUtZDFiNS00ODFkLTllOWEtNDlkNzUzOGYzZjcxXkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_SX300.jpg,,,,,
Dirty,2005,R,N/A,97 min,"Crime, Thriller",Chris Fisher,"Chris Fisher, Gil Reavill, Eric Saks","Frank Alvarez, Clifton Collins Jr., Brittany Daniel",Two gangbangers-turned-cops try and cover up a scandal within the LAPD.,"English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BMzQwMjQ3MDk0OF5BMl5BanBnXkFtZTcwNzIxMTIzMQ@@._V1_SX300.jpg,,,,,
American Hardcore,2006,R,21 Jan 2006,100 min,"Documentary, History, Music",Paul Rachman,Steven Blush,"Greg Ginn, Ian MacKaye, James Drescher",The History of American Punk Rock 1980-1986,English,United States,https://m.media-amazon.com/images/M/MV5BMTA4NjAzNDMzMjleQTJeQWpwZ15BbWU3MDcxNzg0MzE@._V1_SX300.jpg,,,,,
The War Tapes,2006,Not Rated,29 Apr 2006,97 min,"Documentary, War",Deborah Scranton,N/A,"Zack Bazzi, Duncan Domey, Ben Flanders","Called up for service in Iraq, several members of the National Guard were given digital video cameras. This film, edited from their footage, provides a perspective on a complex and troubled conflict.","English, Arabic",United States,https://m.media-amazon.com/images/M/MV5BMTQ4OTYwODk4Ml5BMl5BanBnXkFtZTcwNTU2NzgzMQ@@._V1_SX300.jpg,,,,,
Love's Abiding Joy,2006,PG,N/A,87 min,"Drama, Family, Western",Michael Landon Jr.,"Michael Landon Jr., Douglas Lloyd McIntosh, Bridget Terry","Erin Cottrell, Dale Midkiff, Logan Bartholomew",Tragedy tests the faith and love of a family of pioneers as they carve out a life on the frontier.,N/A,United States,https://m.media-amazon.com/images/M/MV5BMTc1MTM2NTYwM15BMl5BanBnXkFtZTcwMzg2OTczMQ@@._V1_SX300.jpg,,,,,
Broken Bridges,2006,PG-13,08 Sep 2006,105 min,"Drama, Music",Steven Goldmann,"Cherie Bennett, Jeff Gottesfeld","Brian F. Durkin, Jason Leith, Richard Tillman","A fading country music star (Keith) returns to his hometown, where he reunites with his childhood sweetheart and also meets his 16-year-old daughter for the first time.",English,United States,https://m.media-amazon.com/images/M/MV5BMTI1Mjc3MzM1NF5BMl5BanBnXkFtZTcwMDcwMzczMQ@@._V1_SX300.jpg,,,,,
Humko Deewana Kar Gaye,2006,Not Rated,14 Apr 2006,155 min,"Drama, Romance",Raj Kanwar,"Sudhanshu Dube, Raj Kanwar, Anurag Singh","Akshay Kumar, Katrina Kaif, Bipasha Basu","Aditya an engineer, travels to Canada for training. There he meets Jia a beautiful woman from an influential family. Fate keeps pushing the pair together, and even though both are already betrothed to others, Adi and Jia fall in l...",Hindi,India,https://m.media-amazon.com/images/M/MV5BOGZjYWJhN2EtZmE1Zi00MWVkLTkxNTQtZTU1YjE4NmQ4NmRjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,,,,,
Riding Alone for Thousands of Miles,2005,PG,22 Dec 2005,107 min,Drama,Yimou Zhang,"Yimou Zhang, Jingzhi Zou, Bin Wang","Ken Takakura, Kiichi Nakai, Shinobu Terajima",A Japanese father travels to China's Yunnan province in the place of his ailing son to film a folk-opera singer.,"Mandarin, Japanese","China, Japan, Hong Kong",https://m.media-amazon.com/images/M/MV5BOTFjNzMwYzEtMjcwOC00N2E5LTg0YWYtZWE1MDVjODE4YTYyL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,,,,,
Carmen Campagne: La moustache à papa,1996,N/A,N/A,60 min,Music,Richard Saint-Pierre,"Daniel Fortier, Roland Stringer","Carmen Campagne, Michelle Campagne, Paul Campagne, Stépano Cella",N/A,French,Canada,https://m.media-amazon.com/images/M/MV5BZTc4YmQ1M2YtNDlhOC00Mjk4LWE3ZGUtNTg2NDc5Yzc5OTJjXkEyXkFqcGdeQXVyNTA1NDY3NzY@._V1_SX300.jpg,,,,,
49 Up,2005,Not Rated,15 Sep 2005,180 min,"Documentary, Biography","Michael Apted, Paul Almond",N/A,"Bruce Balden, Jacqueline Bassett, Symon Basterfield",Director Michael Apted revisits the same group of British-born adults after a seven-year wait. The subjects are interviewed as to the changes that have occurred in their lives during the last seven years.,English,United Kingdom,https://m.media-amazon.com/images/M/MV5BNTY5MmEwMGEtMWI1ZS00ZGMyLWEzODctZDZjM2U5NGVhNGQ1XkEyXkFqcGdeQXVyNjg1NzcwODE@._V1_SX300.jpg,,,,,
Wah-Wah,2005,R,02 Jun 2006,120 min,"Comedy, Drama",Richard E. Grant,Richard E. Grant,"Nicholas Hoult, Miranda Richardson, Emily Watson",Ralph witnesses the disintegration of his parents' marriage through adultery and alcohol during the last gasp of the British Empire in Swaziland in 1969. Ralph finds his new step-mother is the only one who understands his inner tu...,English,"United Kingdom, France, South Africa",https://m.media-amazon.com/images/M/MV5BOWU3YzQ2YjYtOTBlZS00NTVkLWI5NGUtMWI2MTUzZWUwZjI1XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,,,,,
Drawing Restraint 9,2005,Not Rated,29 Mar 2006,135 min,Fantasy,Matthew Barney,Matthew Barney,"Matthew Barney, Björk, Shigeru Akahori","The film concerns the theme of self-imposed limitation and continues Matthew Barney's interest in religious rite, this time focusing on Shinto.","English, Japanese, Icelandic","United States, Japan",https://m.media-amazon.com/images/M/MV5BMTQyOTA4NDAzMF5BMl5BanBnXkFtZTcwNTAxMTYzMQ@@._V1_SX300.jpg,,,,,
Confetti,2006,R,05 May 2006,100 min,"Comedy, Music, Romance",Debbie Isitt,Debbie Isitt,"Martin Freeman, Jessica Hynes, Stephen Mangan",A mockumentary that follows three couples as they battle it out to win the coveted title of 'Most Original Wedding of the Year'.,English,United Kingdom,https://m.media-amazon.com/images/M/MV5BMTM1MDA2MDE3N15BMl5BanBnXkFtZTYwNDIwNTM3._V1_SX300.jpg,,,,,
Pulse: A Stomp Odyssey,2002,N/A,17 Oct 2002,40 min,"Short, Documentary","Luke Cresswell, Steve McNicholas",N/A,"Miles Crawford, Ameenah Kaplan, Keith Middleton",Trailer for Pulse: A Stomp Odyssey,English,United States,https://m.media-amazon.com/images/M/MV5BMjE3MDc0OTA2MV5BMl5BanBnXkFtZTcwOTc4MzcyMQ@@._V1_SX300.jpg,,,,,
The Beauty Academy of Kabul,2004,Not Rated,04 May 2004,74 min,Documentary,Liz Mermin,N/A,N/A,A documentary following American women (some of whom emigrated from Afghanistan in the early 1980s) who return to the capital city of Kabul to open an American-style school for beauticians. Some of their students are women who mai...,"English, Persian",United States,https://m.media-amazon.com/images/M/MV5BMTgxNjc0NDI1Nl5BMl5BanBnXkFtZTcwMzg5MDczMQ@@._V1_SX300.jpg,,,,,
Unidentified,2006,PG,18 Aug 2006,85 min,Sci-Fi,Rich Christiano,Rich Christiano,"Jonathan Aube, Josh Adamson, Michael Blain-Rozgay",Two reporters investigate a series of UFO sightings and discover a supernatural connection.,English,United States,https://m.media-amazon.com/images/M/MV5BMjA3MjkxNzU0NF5BMl5BanBnXkFtZTcwNTA4OTQ5Mw@@._V1_SX300.jpg,,,,,
Fur: An Imaginary Portrait of Diane Arbus,2006,R,20 Oct 2006,122 min,"Biography, Drama, Romance",Steven Shainberg,"Erin Cressida Wilson, Patricia Bosworth","Nicole Kidman, Robert Downey Jr., Ty Burrell","Turning her back on her wealthy, established family, Diane Arbus falls in love with Lionel Sweeney, an enigmatic mentor who introduces Arbus to the marginalized people who help her become one of the most revered photographers of t...",English,United States,https://m.media-amazon.com/images/M/MV5BNjg2MTM0NTIxOF5BMl5BanBnXkFtZTcwNDkzMDgzMQ@@._V1_SX300.jpg,,,,,
A Good Woman,2004,PG,13 May 2005,93 min,"Drama, Comedy, Romance",Mike Barker,"Oscar Wilde, Howard Himelstein","Helen Hunt, Scarlett Johansson, Tom Wilkinson",A 1930s American socialite creates a scandal in the expatriate high society of the Amalfi Coast of Italy when she forms a secretive relationship with a wealthy American unbeknownst to his young wife.,"English, Italian","United Kingdom, Italy, Spain, Luxembourg, United States",https://m.media-amazon.com/images/M/MV5BMjU0MTdkYTYtNDljNi00MjQ5LWJhZGUtNGNjOThhYzczNThmXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,,,,,
Wassup Rockers,2005,R,05 Apr 2006,111 min,"Adventure, Comedy, Drama",Larry Clark,"Larry Clark, Matthew Frost","Jonathan Velasquez, Francisco Pedrasa, Milton Velasquez","A group of teenage boys opt to form their own identity by riding skateboards, wearing tight pants.","Spanish, English",United States,https://m.media-amazon.com/images/M/MV5BZmFiZDgyNzctMjU3NS00YjljLWJmYWUtNWQ3NWI3NzYxZWI3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,,,,
Driving Lessons,2006,PG-13,13 Oct 2006,98 min,"Comedy, Drama",Jeremy Brock,Jeremy Brock,"Rupert Grint, Laura Linney, Julie Walters",A coming of age story about a shy teenage boy trying to escape from the influence of his domineering mother. His world changes when he begins to work for a retired actress.,English,United Kingdom,https://m.media-amazon.com/images/M/MV5BMTg4NzE5MDE3Ml5BMl5BanBnXkFtZTcwMDgxNjgzMQ@@._V1_SX300.jpg,,,,,
The Journals of Knud Rasmussen,2006,N/A,10 Nov 2006,112 min,Drama,"Norman Cohn, Zacharias Kunuk","Eugene Ipkarnak, Madeline Ivalu, Herve Paniaq","Pakak Innuksuk, Leah Angutimarik, Neeve Irngaut","A portrayal of the lives of the last great Inuit shaman, Avva, and his beautiful and headstrong daughter, Apak. Based on the journals of 1920s Danish ethnographer Knud Rasmussen.","Inuktitut, English, Danish","Canada, Denmark, Greenland",https://m.media-amazon.com/images/M/MV5BMTgxMjUwMDE4OF5BMl5BanBnXkFtZTcwMTI3NDgzMQ@@._V1_SX300.jpg,,,,,
Shopgirl,2005,R,04 Nov 2005,106 min,"Drama, Romance",Anand Tucker,Steve Martin,"Steve Martin, Claire Danes, Jason Schwartzman","A film adaptation of Steve Martin's novel about a complex love triangle between a bored salesgirl, a wealthy businessman and an aimless young man.","English, Japanese",United States,https://m.media-amazon.com/images/M/MV5BMjE2MTM5NjIyOV5BMl5BanBnXkFtZTcwOTg3NDAzMQ@@._V1_SX300.jpg,,,,,
Tamara,2005,R,03 Feb 2006,98 min,"Drama, Fantasy, Horror",Jeremy Haft,Jeffrey Reddick,"Jenna Dewan, Katie Stuart, Chad Faust","Tamara, an unattractive girl, who is picked on by her peers returns after her death as a sexy seductress to exact revenge.",English,Canada,https://m.media-amazon.com/images/M/MV5BMTg5MzA0NDI0NF5BMl5BanBnXkFtZTcwMjEwNjkzMQ@@._V1_SX300.jpg,,,,,
Malamaal Weekly,2006,N/A,10 Mar 2006,137 min,"Comedy, Drama",Priyadarshan,"Manisha Korde, Priyadarshan, Chandu Shah","Paresh Rawal, Om Puri, Riteish Deshmukh","Lilaram sells lottery tickets and one customer has hit the jackpot but dies of shock upon finding out that he has won. Now, Lilaram wants all the money, and so does everyone around him.",Hindi,India,https://m.media-amazon.com/images/M/MV5BYTNlNjZkZTEtODM0Ni00MGNhLTlkODctMTZhNDlhODg3YTgyXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,,,,,
Deliver Us from Evil,2014,R,02 Jul 2014,118 min,"Action, Adventure, Crime",Scott Derrickson,"Scott Derrickson, Paul Harris Boardman, Ralph Sarchie","Eric Bana, Edgar Ramírez, Olivia Munn","New York police officer Ralph Sarchie investigates a series of crimes. He joins forces with an unconventional priest, schooled in the rites of exorcism, to combat the possessions that are terrorizing their city.","English, Spanish, Latin, Italian",United States,https://m.media-amazon.com/images/M/MV5BM2MwYjg5NDEtYmZiNy00YTk4LWIwMmItMGE3MmM2YzY4MmYzXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,,,,,
Sherrybaby,2006,R,09 Feb 2007,96 min,Drama,Laurie Collyer,Laurie Collyer,"Maggie Gyllenhaal, Ryan Simpkins, Sam Bottoms",Sherry tries to integrate again into society and become a good mother.,English,United States,https://m.media-amazon.com/images/M/MV5BMTU1Mzc0ODE4MF5BMl5BanBnXkFtZTcwNjU1MzYzMQ@@._V1_SX300.jpg,,,,,
Fateless,2005,R,10 Feb 2005,140 min,"Drama, Romance, War",Lajos Koltai,Imre Kertész,"Marcell Nagy, Béla Dóra, Bálint Péntek","14-year-old György's life is torn apart in WWII Hungary, as he is deported first to Auschwitz and then to Buchenwald, where he is forced to become a man in the midst of hatred, and what it really means to be Jewish.","Hungarian, German, English, Yiddish, Hebrew, Polish","Hungary, Germany, United Kingdom, Israel, France, United States",https://m.media-amazon.com/images/M/MV5BMTA3MTg1MDk4NTleQTJeQWpwZ15BbWU3MDQ1NTg1MzE@._V1_SX300.jpg,,,,,
The Puffy Chair,2005,R,27 Apr 2007,85 min,"Comedy, Drama, Romance","Jay Duplass, Mark Duplass","Mark Duplass, Jay Duplass","Mark Duplass, Katie Aselton, Rhett Wilkins",Josh Sagers drives cross-country on a mission to deliver his father's birthday gift - a giant purple LazyBoy.,English,United States,https://m.media-amazon.com/images/M/MV5BMzM1OTc5NzAyMl5BMl5BanBnXkFtZTcwNzMzOTkzMQ@@._V1_SX300.jpg,,,,,
Jarhead,2005,R,04 Nov 2005,125 min,"Biography, Drama, War",Sam Mendes,"William Broyles Jr., Anthony Swofford","Jake Gyllenhaal, Jamie Foxx, Lucas Black","A psychological study of Marine's state of mind during the Gulf War. Told through the eyes of a U.S. Marine sniper who struggles to cope with boredom, a sense of isolation, and other issues back home.","English, Spanish, Arabic, Latin","United States, United Kingdom, Germany",https://m.media-amazon.com/images/M/MV5BYmMyNGM4NWItYjgwYS00N2Q2LWJmY2YtY2ViNWYwMzRhODlmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,,,,
On a Clear Day,2005,PG-13,02 Sep 2005,95 min,"Comedy, Drama, Romance",Gaby Dellal,Alex Rose,"Peter Mullan, Brenda Blethyn, Billy Boyd",Frank determines to salvage his self-esteem and tackle his demons by attempting the ultimate test of endurance - swimming the English Channel.,English,United Kingdom,https://m.media-amazon.com/images/M/MV5BYjk4NTVhNjYtYWQwZC00NTI4LTgzZWYtYjNmZmEwODkzZDNhXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,,,,,
Get Rich or Die Tryin',2005,R,09 Nov 2005,117 min,"Biography, Crime, Drama",Jim Sheridan,Terence Winter,"50 Cent, Joy Bryant, Adewale Akinnuoye-Agbaje",A tale of an inner city drug dealer who turns away from a life of crime to pursue his passion of rap music.,"English, Spanish","United States, Canada",https://m.media-amazon.com/images/M/MV5BMTI4NTE0MTU2N15BMl5BanBnXkFtZTYwNzQ1OTc2._V1_SX300.jpg,,,,,
Romeo,2007,N/A,N/A,N/A,Comedy,Rajasenan,"Meccartin, Raffi","Asokan, Rema Devi C., Dileep","The life of a male nurse Manu takes a turn when a doctor, a reality show contestant and a village girl fall in love with him. He must look for ways to untangle the cobwebs that form as a result.",Malayalam,India,https://m.media-amazon.com/images/M/MV5BMGUyMDM4ZTItMTJiMy00MDgwLTk3ZTctYjdhZjM3MmM5NzdmXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_SX300.jpg,,,,,
Inland Empire,2006,R,07 Feb 2007,180 min,"Drama, Fantasy, Mystery",David Lynch,David Lynch,"Karolina Gruszka, Krzysztof Majchrzak, Grace Zabriskie","As an actress begins to adopt the persona of her character in a film, her world becomes nightmarish and surreal.","English, Polish","France, Poland, United States",https://m.media-amazon.com/images/M/MV5BMTQ3NDQyNjM3NF5BMl5BanBnXkFtZTcwMzk5MDU0MQ@@._V1_SX300.jpg,,,,,
Old Joy,2006,Unrated,26 Jan 2007,76 min,Drama,Kelly Reichardt,"Jonathan Raymond, Kelly Reichardt","Daniel London, Will Oldham, Tanya Smith",Two old pals reunite for a camping trip in Oregon's Cascade Mountains.,English,United States,https://m.media-amazon.com/images/M/MV5BODJhY2EyODgtYjRlMC00NDAzLTg5N2MtZWZmMDE1YTQwODY2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,,,,
