Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Poster,Error,totalSeasons
"Polina, danser sa vie",2016,N/A,16 Nov 2016,108 min,Drama,"Valérie Müller, Angelin Preljocaj","Valérie Müller, Bastien Vives","Anastasia Shevtsova, Veronika Zhovnytska, Juliette Binoche",A young girl studies classical ballet. As a young woman she turns to modern dance and choreography.,"French, Russian",France,https://m.media-amazon.com/images/M/MV5BOTc1MjI1MjY2M15BMl5BanBnXkFtZTgwNzAxNjQxMzI@._V1_SX300.jpg,,
The Journey,2016,PG-13,16 Jun 2017,94 min,"Biography, Drama, History",Nick Hamm,Colin Bateman,"Timothy Spall, Colm Meaney, John Hurt","During the 2006 Northern Ireland peace talks, Sinn Féin leader Martin McGuinness (Colm Meaney) and Democratic Unionist Party leader Ian Paisley (Timothy Spall) are forced to travel by car together.",English,United Kingdom,https://m.media-amazon.com/images/M/MV5BMTQxMzNlZGQtYTU0My00NzFmLWE4NmYtODc4Y2Q0OTY2ODk2XkEyXkFqcGdeQXVyMTc4NDkxOA@@._V1_SX300.jpg,,
Manifesto,2015,Not Rated,23 Nov 2017,95 min,Drama,Julian Rosefeldt,Julian Rosefeldt,"Cate Blanchett, Erika Bauer, Ruby Bustamante",Cate Blanchett performs manifestos as a series of striking monologues.,"English, French",N/A,https://m.media-amazon.com/images/M/MV5BNjU5MzA4YjMtOGQ4NS00MjAzLWEyOTUtMGQ0OTE5MjgxY2JmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,,
Bombshell: The Hedy Lamarr Story,2017,N/A,08 Mar 2018,88 min,"Documentary, Biography, History",Alexandra Dean,Alexandra Dean,"Hedy Lamarr, Mel Brooks, Jennifer Hom","The life and career of the hailed Hollywood movie star and underappreciated genius inventor, Hedy Lamarr.","English, German, French",United States,https://m.media-amazon.com/images/M/MV5BOWRmNjE5NjctMjY5OC00ZWZlLTlkMjUtMDQ2MmRmMWY4Njc0XkEyXkFqcGdeQXVyNjg1MDUyNTI@._V1_SX300.jpg,,
Three Generations,2015,N/A,16 May 2015,3 min,"Documentary, Short",Christian Field,N/A,Robert Field,N/A,English,United Kingdom,https://m.media-amazon.com/images/M/MV5BOWZhNGU2YjAtZWQ2Mi00NWJiLWJkMWEtY2QxNjk3NTk2YTY5XkEyXkFqcGdeQXVyOTkwNzk1ODU@._V1_SX300.jpg,,
13 Minutes,2015,R,30 Jun 2017,114 min,"Biography, Drama, War",Oliver Hirschbiegel,"Léonie-Claire Breinersdorfer, Fred Breinersdorfer","Christian Friedel, Katharina Schüttler, Burghart Klaußner","In November 1939, Georg Elser's attempt to assassinate Adolf Hitler fails, and he is arrested. During his confinement, he recalls the events leading up to his plot and his reasons for deciding to take such drastic action.",German,"Germany, Italy",https://m.media-amazon.com/images/M/MV5BMTU3MzYzNDEzN15BMl5BanBnXkFtZTgwODM5NTY0MTI@._V1_SX300.jpg,,
,,,,,,,,,,,,,Movie not found!,
The Void,2016,Not Rated,07 Apr 2017,90 min,"Horror, Mystery, Sci-Fi","Jeremy Gillespie, Steven Kostanski","Jeremy Gillespie, Steven Kostanski","Aaron Poole, Kenneth Welsh, Ellen Wong","Shortly after delivering a patient to an understaffed hospital, a police officer experiences strange and violent occurrences seemingly linked to a group of mysterious hooded figures.",English,Canada,https://m.media-amazon.com/images/M/MV5BNzU0MzgxMjAtYjU0NC00ZWYyLTljZWUtNTRkNzBhZTYwYzY4XkEyXkFqcGdeQXVyMTM2MzgyOTU@._V1_SX300.jpg,,
The Unknown Girl,2016,Unrated,25 Aug 2017,113 min,"Crime, Drama, Mystery","Jean-Pierre Dardenne, Luc Dardenne","Jean-Pierre Dardenne, Luc Dardenne","Adèle Haenel, Olivier Bonnaud, Jérémie Renier",A doctor gets obsessed with the case of a dead woman after learning that the woman had died shortly after having rung her door for help.,French,"Belgium, France",https://m.media-amazon.com/images/M/MV5BNWQyOWMwNWQtZmJkYy00YTc2LWFmMzktMjFlNGYwYzU1NzQ3XkEyXkFqcGdeQXVyNjgwMTczMTA@._V1_SX300.jpg,,
Blade of the Immortal,2017,R,03 Nov 2017,140 min,"Action, Drama, Fantasy",Takashi Miike,"Hiroaki Samura, Tetsuya Oishi","Takuya Kimura, Hana Sugisaki, Sôta Fukushi","Cursed with a life of immortality, a samurai is tasked by a young girl to help avenge the death of her father. Based on the manga series by Hiroaki Samura.",Japanese,"Japan, United Kingdom, South Korea",https://m.media-amazon.com/images/M/MV5BYzIwYmJlMjktMzJiMy00YmQzLThmNWYtNWY3NGViZjc4MzYwXkEyXkFqcGdeQXVyNDQxNjcxNQ@@._V1_SX300.jpg,,
,,,,,,,,,,,,,Movie not found!,
The Last Dalai Lama?,2016,N/A,28 Jul 2017,82 min,Documentary,Mickey Lemle,Mickey Lemle,"George W. Bush, Rinchen Khando Choegyal, Tenzin Choegyal","A portrait of the 14th Dalai Lama, featuring interviews with his family and the people he has inspired since his exile from Tibet in 1959.",English,United States,https://m.media-amazon.com/images/M/MV5BNWVjYWE1YTUtOWE0Yy00MGZlLTk2YjItZGZlMGExNzhmM2JiXkEyXkFqcGdeQXVyNjk4NDEwMTg@._V1_SX300.jpg,,
Chavela,2017,Unrated,04 Oct 2017,93 min,"Documentary, Biography, History","Catherine Gund, Daresha Kyi",N/A,"Eugenia León, Jesusa Rodríguez, Tania Libertad","The life of pioneering singer Chavela Vargas, from her birth in Costa Rica in 1919 to her death in Mexico in 2012.","English, Spanish","Mexico, Spain, United States",https://m.media-amazon.com/images/M/MV5BNjliNTE4NGMtOGY5Yy00Y2VmLTg5MjgtNWZkYjYzMTVjMzMwXkEyXkFqcGdeQXVyNDU0NjMyNTQ@._V1_SX300.jpg,,
A Man Called Ove,2015,PG-13,30 Sep 2016,116 min,"Comedy, Drama, Romance",Hannes Holm,"Hannes Holm, Fredrik Backman","Rolf Lassgård, Bahar Pars, Filip Berg","Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.","Swedish, Persian, Spanish",Sweden,https://m.media-amazon.com/images/M/MV5BMjE0NDUyOTc2MV5BMl5BanBnXkFtZTgwODk2NzU3OTE@._V1_SX300.jpg,,
The Other Side of Hope,2017,Not Rated,03 Feb 2017,100 min,"Comedy, Drama",Aki Kaurismäki,Aki Kaurismäki,"Sherwan Haji, Sakari Kuosmanen, Kaija Pakarinen",A poker-playing restaurateur and former traveling salesman befriends a group of refugees newly arrived to Finland.,"Finnish, English, Arabic, Swedish, Japanese","Finland, Germany",https://m.media-amazon.com/images/M/MV5BOGM2Njk1OWMtYWE0Yi00N2E4LTg3NjItYzJiYzljZTVjZmJlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTIxMzMzMzE@._V1_SX300.jpg,,
Things to Come,2016,PG-13,06 Apr 2016,102 min,Drama,Mia Hansen-Løve,Mia Hansen-Løve,"Isabelle Huppert, André Marcon, Roman Kolinka","A philosophy teacher soldiers through the death of her mother, losing her book deal, and dealing with a husband who is cheating on her.","French, English, German","France, Germany",https://m.media-amazon.com/images/M/MV5BYjdlZGM0YjAtYWU0YS00MTIzLWE1ZmMtNWViOWFlYmFkNjg0L2ltYWdlXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg,,
The Fortress,2017,Not Rated,20 Oct 2017,140 min,"Action, Drama, History",Hwang Dong-hyuk,"Hwang Dong-hyuk, Hoon Kim","Lee Byung-hun, Kim Yoon-seok, Park Hae-il","In 1636, King Injo hides in the mountains to avoid being part of the Qing dynasty.",Korean,South Korea,https://m.media-amazon.com/images/M/MV5BZjEyZDI4YWUtNDJiYS00MDEzLTgwNzctOGFmYTIwMWQ4Yzg2XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,,
,,,,,,,,,,,,,Movie not found!,
Dawson City: Frozen Time,2016,N/A,20 Mar 2017,120 min,"Documentary, History",Bill Morrison,Bill Morrison,"Michael Gates, Kathy Jones-Gates, Roscoe 'Fatty' Arbuckle","The history of Dawson City, the gold rush town that had a historical treasure of forgotten silent films buried in permafrost for decades until 1978.",English,United States,https://m.media-amazon.com/images/M/MV5BNGQyMjY2YzUtY2EzYi00MjA3LTkyMjEtZjA3ZGNjNDcxNWYwXkEyXkFqcGdeQXVyMTEwMzQzODU@._V1_SX300.jpg,,
Thelma,2017,Not Rated,15 Sep 2017,116 min,"Drama, Fantasy, Horror",Joachim Trier,"Eskil Vogt, Joachim Trier","Eili Harboe, Kaya Wilkins, Henrik Rafaelsen",A confused religious girl tries to deny her feelings for a female friend who's in love with her. This causes her suppressed subconsciously-controlled psychokinetic powers to reemerge with devastating results.,"English, Norwegian, Swedish","Norway, France, Denmark, Sweden",https://m.media-amazon.com/images/M/MV5BYzllNGU5NWUtM2Q0ZC00ZWUwLTk1YzItNDcxYWRmMWM4YzIzXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_SX300.jpg,,
Moka,2016,Not Rated,14 Jun 2017,89 min,Drama,Frédéric Mermoud,"Jean-Stéphane Bron, Tatiana De Rosnay, Antonin Martin-Hilbert","Emmanuelle Devos, Nathalie Baye, David Clavel",A grieving woman pursues a couple who she suspects of killing her son in a hit-and-run.,French,"Switzerland, France",https://m.media-amazon.com/images/M/MV5BODliNzE5ODItZTcyOS00ZTM4LTk3Y2QtOWNiODVhZDgwZjc4XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,,
City of Ghosts,2002,R,27 Mar 2003,116 min,"Crime, Drama, Thriller",Matt Dillon,"Matt Dillon, Barry Gifford","Matt Dillon, James Caan, Natascha McElhone","A con man (Matt Dillon) travels to Cambodia (also on the run from law enforcement in the U.S.) to collect his share in an insurance scam, but discovers more than he bargained for.","English, French, Central Khmer, Russian",United States,https://m.media-amazon.com/images/M/MV5BMTE5ODk5OTc3Ml5BMl5BanBnXkFtZTcwMzcxMjAwMQ@@._V1_SX300.jpg,,
Marie Curie: The Courage of Knowledge,2016,N/A,30 Jun 2017,100 min,"Biography, Drama, Romance",Marie Noëlle,"Marie Noëlle, Andrea Stoll","Karolina Gruszka, Arieh Worthalter, Charles Berling",Follows the famous physicist and chemist Marie Curie and her struggle for recognition in the male-dominated science community in early 20th century France.,"French, German, English, Polish","Poland, Germany, France",https://m.media-amazon.com/images/M/MV5BNGQ3ZGZiMzQtMzkwYS00NzY1LTgxNjUtZjYyYzMxOWU0ZGZkXkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg,,
The Handmaiden,2016,Not Rated,01 Jun 2016,145 min,"Drama, Romance, Thriller",Park Chan-wook,"Sarah Waters, Jeong Seo-kyeong, Park Chan-wook","Kim Min-hee, Ha Jung-woo, Cho Jin-woong","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","Korean, Japanese",South Korea,https://m.media-amazon.com/images/M/MV5BNDJhYTk2MTctZmVmOS00OTViLTgxNjQtMzQxOTRiMDdmNGRjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,,
The B-Side,2016,R,30 Jun 2017,76 min,Documentary,Errol Morris,N/A,"Elsa Dorfman, Jorge Luis Borges, Bob Dylan",A look at the life and work of photographer Elsa Dorfman.,English,United States,https://m.media-amazon.com/images/M/MV5BY2EzYjQ3YmQtN2YyYi00YjUyLWI0MTctYTRkNmNjYmRiOTI1XkEyXkFqcGdeQXVyMjU3NTI0Mg@@._V1_SX300.jpg,,
The Thousand Faces of Dunjia,2017,Not Rated,15 Dec 2017,113 min,"Action, Adventure, Fantasy",Woo-Ping Yuen,Hark Tsui,"Chengpeng Dong, Ni Ni, Aarif Rahman",A group of warriors protect the world from a monster invasion.,Mandarin,"China, Hong Kong",https://m.media-amazon.com/images/M/MV5BMzY0ZDc2YTQtN2M0Zi00OGE2LTg3MzItNDc4NTdmYzIxMTY3XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,,
,,,,,,,,,,,,,Movie not found!,
Jack Reacher: Never Go Back,2016,PG-13,21 Oct 2016,118 min,"Action, Crime, Drama",Edward Zwick,"Richard Wenk, Edward Zwick, Marshall Herskovitz","Tom Cruise, Cobie Smulders, Aldis Hodge",Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name while on the run as a fugitive from the law.,"English, Ukrainian","China, United States",https://m.media-amazon.com/images/M/MV5BODQ3ODQ3NDI4NV5BMl5BanBnXkFtZTgwMDY1Mzk5OTE@._V1_SX300.jpg,,
Inferno,2016,PG-13,28 Oct 2016,121 min,"Action, Adventure, Crime",Ron Howard,"Dan Brown, David Koepp","Tom Hanks, Felicity Jones, Irrfan Khan","When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks and they race across Europe together against the clock to foil a deadly global plot.","English, French, Italian, Turkish","United States, Hungary",https://m.media-amazon.com/images/M/MV5BMTUzNTE2NTkzMV5BMl5BanBnXkFtZTgwMDAzOTUyMDI@._V1_SX300.jpg,,
Explosion,2017,N/A,24 Nov 2017,106 min,"Action, Thriller",Zheng Chang,"Zheng Chang, Meng Li","Yihong Duan, Nan Yu, Jingchun Wang","Zhao Xudong is a blaster technician. When an explosion happens in the mine and kills four workers, Zhao survives. He suspects that the explosion is not an accident, and when he investigates further, two miners and the mine owner a...",Mandarin,China,https://m.media-amazon.com/images/M/MV5BODM5OWI5MmEtMGU4OS00YTdjLWFjNWMtMDRiOTE0NTNhMzFhXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,,
Big Sonia,2016,N/A,09 Nov 2016,93 min,"Documentary, Family, History","Todd Soliday, Leah Warshawski",Eric Frith,"Sonia Warshawski, SuEllen Fried, Caroline James Kennedy","In the last store in a defunct shopping mall, 91-year-old Sonia Warshawski - great-grandmother, businesswoman, and Holocaust survivor - runs the tailor shop she's owned for more than thirty years. But when she's served an eviction...",English,United States,https://m.media-amazon.com/images/M/MV5BYmFlNTg0MDctYWFjOC00ODIwLTgxYjktYmQzYTNkMzAzZmY4XkEyXkFqcGdeQXVyODA3NTE5MDU@._V1_SX300.jpg,,
"We Love You, Sally Carmichael!",2017,PG,04 Aug 2017,84 min,Comedy,Christopher Gorham,Daryn Tufts,"Alicia Hannah-Kim, Paula Marshall, Christopher Gorham","Readers across the world are in love with author Sally Carmichael's series of romance novels that chronicle the epic love story between a human girl and a merman. But no one knows that Sally Carmichael is really Simon Hayes, a bit...",N/A,United States,https://m.media-amazon.com/images/M/MV5BYjFiYjE0MzQtNjU0Zi00MDJjLTgwNDEtN2RiMzNkZTM1OGE1XkEyXkFqcGdeQXVyMTc0MTAwMg@@._V1_SX300.jpg,,
Abacus: Small Enough to Jail,2016,Not Rated,07 Jul 2017,88 min,Documentary,Steve James,N/A,"Thomas Sung, Hwei Lin Sung, Cyrus Vance Jr.",A small financial institution called Abacus becomes the only company criminally indicted in the wake of the United States' 2008 mortgage crisis.,"English, Mandarin, Cantonese",United States,https://m.media-amazon.com/images/M/MV5BYTZkNGI4YWItNjY2ZS00NjVkLWEyZDMtYmZkOGVkYWZlNGE4XkEyXkFqcGdeQXVyMjM2NDc3OTU@._V1_SX300.jpg,,
The King's Choice,2016,N/A,22 Aug 2017,133 min,"Biography, Drama, History",Erik Poppe,"Alf R. Jacobsen, Harald Rosenløw-Eeg, Jan Trygve Røyneland","Jesper Christensen, Anders Baasmo, Karl Markovics","April 1940. Norway has been invaded by Germany and the royal family and government have fled into the interior. The German envoy to Norway tries to negotiate a peace. Ultimately, the decision on Norway's future will rest with the ...","Norwegian, German, Danish, Swedish, English",N/A,https://m.media-amazon.com/images/M/MV5BMTk4MDk2MzY3NV5BMl5BanBnXkFtZTgwOTYyNzk4MjI@._V1_SX300.jpg,,
Slack Bay,2016,Unrated,13 May 2016,122 min,"Comedy, Fantasy",Bruno Dumont,Bruno Dumont,"Fabrice Luchini, Juliette Binoche, Valeria Bruni Tedeschi","In the early 20th century, at the Pas de Calais, people mysteriously disappear as Ma Loute, son of the local fishermen family, and Billie, daughter of the snobbish Van Peteghems, fall in love each other.","French, English","France, Germany, Belgium",https://m.media-amazon.com/images/M/MV5BY2JkMDNmY2ItN2VlMS00ZTQ3LTg2ZTctOTJlNWE3NzBlMTMwXkEyXkFqcGdeQXVyODM3MjA1NA@@._V1_SX300.jpg,,
Our Time Will Come,2017,PG-13,07 Jul 2017,130 min,"Drama, War",Ann Hui,Jiping He,"Xun Zhou, Eddie Peng, Wallace Huo","In Japanese-occupied Hong Kong, a school teacher and her would-be-fiancé link up with Chinese guerrilla fighters, forging their own path to freedom.","Cantonese, Mandarin, Japanese","China, Hong Kong",https://m.media-amazon.com/images/M/MV5BMDFkNjU4NjktODI2Zi00MWYwLWJhMGEtMWEyZmNlZjc1ZDZhXkEyXkFqcGdeQXVyMjI5OTQwNjE@._V1_SX300.jpg,,
,,,,,,,,,,,,,Movie not found!,
Reset,2017,N/A,30 Jun 2017,105 min,"Action, Sci-Fi, Thriller",Hong-Seung Yoon,"Muchun Cha, Jina Kim","Mi Yang, Wallace Huo, Shih-Chieh King","When her son is kidnapped, the inventor of a time machine teams up with multiple versions of her future self to rescue him.",Mandarin,China,https://m.media-amazon.com/images/M/MV5BNDI4ZWE2N2ItMzIwZC00NzhhLWIyM2ItZTUwZWM2ZmZiN2ZhXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,,
Like Crazy,2011,PG-13,27 Jan 2012,86 min,"Drama, Romance",Drake Doremus,"Drake Doremus, Ben York Jones","Felicity Jones, Anton Yelchin, Jennifer Lawrence","A British college student falls for an American student, only to be separated from him when she's banned from the U.S. after overstaying her visa.",English,United States,https://m.media-amazon.com/images/M/MV5BMjAzOTgyOTU4OF5BMl5BanBnXkFtZTcwNDYxMjcxNg@@._V1_SX300.jpg,,
Walking Out,2017,PG-13,06 Oct 2017,95 min,"Adventure, Drama, Mystery","Alex Smith, Andrew J. Smith","Alex Smith, Andrew J. Smith, David Quammen","Matt Bomer, Josh Wiggins, Bill Pullman","An urban teenager journeys to Montana to hunt big game with his estranged father. Father and son struggle to connect, until a brutal encounter in the heart of the wilderness changes everything.",English,United States,https://m.media-amazon.com/images/M/MV5BMDg3YzgxZjgtNTEzYS00OTg4LTk2MjgtNWMyOTE4MDA4NzJkXkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_SX300.jpg,,
The Lure,2015,Not Rated,25 Dec 2015,92 min,"Drama, Fantasy, Horror",Agnieszka Smoczynska,Robert Bolesto,"Marta Mazurek, Michalina Olszanska, Kinga Preis","In Warsaw, a pair of mermaid sisters are adopted into a cabaret. While one seeks love with humans the other hungers to dine on the human population of the city.",Polish,Poland,https://m.media-amazon.com/images/M/MV5BZjhiMDcxM2EtNjllZi00YjJhLTg4MmEtMTg2ZjY2ZmViYjM1XkEyXkFqcGdeQXVyMjYxMzY2NDk@._V1_SX300.jpg,,
Tim Timmerman: Hope of America,2017,PG-13,03 Mar 2017,94 min,"Comedy, Drama, Romance",Cameron Sawyer,"Justin Copier, Cameron Sawyer","Andrew Lewis Caldwell, Monica Moore Smith, Casey Elliott",An irresponsible Utah student body president faces impeachment as he attempts to sweet-talk his way into Yale.,English,United States,https://m.media-amazon.com/images/M/MV5BMTU0NjcyNDMxOV5BMl5BanBnXkFtZTgwNTgxNDI5MDI@._V1_SX300.jpg,,
I Called Him Morgan,2016,N/A,24 Mar 2017,92 min,"Documentary, Drama, History",Kasper Collin,"Kasper Collin, Jesper Osmund","Lee Morgan, Helen Morgan, Wayne Shorter","An exploration of the relationship between jazz trumpeter Lee Morgan and his common-law wife Helen, who was implicated in his murder in 1972.",English,N/A,https://m.media-amazon.com/images/M/MV5BZTU1YjlmZmMtMjcxNy00ZWJjLWJmNmEtMGE5NGFkYWViMzUwXkEyXkFqcGdeQXVyNTU5NDMxNjM@._V1_SX300.jpg,,
Poster Boys,2017,PG-13,08 Sep 2017,128 min,Comedy,Shreyas Talpade,"Anant Ahluwalia, Bunty Rathore","Sunny Deol, Bobby Deol, Shreyas Talpade",Life of three men comes in trouble when their photos appear on advertisement for sterilization.,Hindi,India,https://m.media-amazon.com/images/M/MV5BNjYxMzM0NDktZDFmNy00NmMzLWIxNWUtZTg5ZjE0MGM3MzE0XkEyXkFqcGdeQXVyNjE5MTgwOTU@._V1_SX300.jpg,,
The Mayor,2017–2018,TV-PG,03 Oct 2017,30 min,Comedy,N/A,Jeremy Bronson,"Brandon Micheal Hall, Lea Michele, Marcel Spears",A struggling hip-hop artist runs for mayor to promote his mixtape and wins the election.,English,United States,https://m.media-amazon.com/images/M/MV5BNzA3YjQ2ZmYtMjY0Ni00NWRkLWIwYzgtZThkMWNmZWE4ZTYxXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_SX300.jpg,,1
Aida's Secrets,2016,Not Rated,20 Oct 2017,90 min,Documentary,"Alon Schwarz, Shaul Schwarz","Halil Efrat, Alon Schwarz","Izak Sagi, Shep Shell, Aida Zasadsinska","Family secrets, lies, high drama and generations of contemporary history unspool in this international story that begins with World War II and concludes with an emotional 21st-century family reunion. Izak was born inside the Berge...","English, Hebrew","Germany, Israel, Canada, United States",https://m.media-amazon.com/images/M/MV5BYWUyMDQ3MGEtYzA1ZS00MDMwLTg4YzItZTI0NDQyZWVhOGE1XkEyXkFqcGdeQXVyNDU0NjMyNTQ@._V1_SX300.jpg,,
Keep Watching,2017,R,31 Oct 2017,89 min,"Horror, Mystery, Thriller",Sean Carter,Joseph Dembner,"Bella Thorne, Chandler Riggs, Ioan Gruffudd",A family become imprisoned in their home by intruders who force them to play a life and death game where the mysterious rules become clear as the night unfolds.,English,United States,https://m.media-amazon.com/images/M/MV5BNGQ1YzE0ZDctNjkxOC00M2IxLWJlOWYtMzY2MDM5ODk2NDg1XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,,
The Fencer,2015,N/A,21 Jul 2017,99 min,"Biography, Drama, History",Klaus Härö,Anna Heinämaa,"Märt Avandi, Ursula Ratasepp, Hendrik Toompere Sr.","Fleeing from the Russian secret police, a young Estonian fencer is forced to return to his homeland, where he becomes a physical education teacher at a local school. The past however catches up and puts him in front of a difficult...","Estonian, Russian, Armenian","Finland, Estonia, Germany",https://m.media-amazon.com/images/M/MV5BMTA2ODEwMjgtYTI2ZC00YzJjLTg4ZjktZGZmZDhiM2JkNWE4XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,,
Sully,2016,PG-13,09 Sep 2016,96 min,"Biography, Drama",Clint Eastwood,"Todd Komarnicki, Chesley Sullenberger, Jeffrey Zaslow","Tom Hanks, Aaron Eckhart, Laura Linney","When pilot Chesley ""Sully"" Sullenberger lands his damaged plane on the Hudson River in order to save the flight's passengers and crew, some consider him a hero while others think he was reckless.",English,United States,https://m.media-amazon.com/images/M/MV5BY2NmZDAwM2QtZmFiMS00OTJlLTgxMTItZDMyZmVhYjE1MDY3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,,
BPM (Beats Per Minute),2017,Not Rated,20 Oct 2017,143 min,Drama,Robin Campillo,"Robin Campillo, Philippe Mangeot","Nahuel Pérez Biscayart, Arnaud Valois, Adèle Haenel",Members of the advocacy group ACT UP Paris demand action by the government and pharmaceutical companies to combat the AIDS epidemic in the early 1990s.,French,France,https://m.media-amazon.com/images/M/MV5BZWM2NTcxM2QtOTYxMC00OTllLWJhN2MtODBjNjA2Y2FjYmU1XkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_SX300.jpg,,
Memoir of a Murderer,2017,Not Rated,08 Sep 2017,118 min,"Action, Crime, Drama",Shin-yeon Won,"Jo-yun Hwang, Young-ha Kim","Sol Kyung-gu, Nam-gil Kim, Seol-Hyun Kim",A former serial killer with Alzheimer's fights to protect his daughter from her psychotic boyfriend.,Korean,South Korea,https://m.media-amazon.com/images/M/MV5BNTRlNTljMzgtNDgzMC00NDZjLWE4MGYtYzA2NDQ0NTllYTU0XkEyXkFqcGdeQXVyNTUxNTI3MzY@._V1_SX300.jpg,,
The King's Case Note,2017,N/A,28 Apr 2017,114 min,"Comedy, History, Mystery",Hyun-Sung Moon,"Yoon-Mi Heo, Eui-Mok Jung, Hyun-Sung Kang","Lee Sun-kyun, Jae-hong Ahn, Kim Hee-won",A clever King and his brilliant chronicle keeper hunt for the truth behind a crime that threatens the throne and the stability of the country.,Korean,South Korea,https://m.media-amazon.com/images/M/MV5BZDg5ZDExZDUtMTc0MS00MDdmLWIxMWYtY2MwZmFjYjY2ZWFiXkEyXkFqcGdeQXVyNDIzMTI4NDE@._V1_SX300.jpg,,
Dina,2017,Not Rated,20 Oct 2017,103 min,Documentary,"Antonio Santini, Dan Sickles",N/A,"Dina Buno, Scott Levin, Frank Costanzo",An eccentric suburban woman and a Walmart door greeter navigate their evolving relationship in this unconventional love story.,English,United States,https://m.media-amazon.com/images/M/MV5BNGNlMWMzNDItODg3Ny00MzUzLTk1MjQtNDhjZTg1NjRjMDk4XkEyXkFqcGdeQXVyNzk1Mzg3NTY@._V1_SX300.jpg,,
Because of Grácia,2017,PG-13,15 Sep 2017,107 min,"Comedy, Drama, Romance",Tom Simes,Tom Simes,"John Schneider, Chris Massoglia, Ben Davies","Two high-school couples explore friendship and dating along dissimilar lines, leading to courage and transformation for one teen and a personal crisis for another.",English,United States,https://m.media-amazon.com/images/M/MV5BZjg0YWUzZDctMzcyNS00OGU3LTg1ODAtNjM0YTY3ODMxZDBjXkEyXkFqcGdeQXVyNTg3NTgyODc@._V1_SX300.jpg,,
Hostiles,2017,R,26 Jan 2018,134 min,"Drama, Western",Scott Cooper,"Scott Cooper, Donald E. Stewart","Scott Shepherd, Rosamund Pike, Ava Cooper","In 1892, a legendary Army Captain reluctantly agrees to escort a Cheyenne chief and his family through dangerous territory.","English, Cheyenne, French",United States,https://m.media-amazon.com/images/M/MV5BNjFhZjM4ZDYtMGRjYi00Yzc2LWExYmEtMDQ3NzA4ODU4YTljXkEyXkFqcGdeQXVyNjkwMzU3NDI@._V1_SX300.jpg,,
Warriors of the Dawn,2017,N/A,16 Jun 2017,130 min,"Adventure, Drama, History",Yoon-Chul Jung,"Yoon-Chul Jung, Kyeong-Pil Kang, Kwang-soo Son","Lee Jung-jae, Yeo Jin-gu, Mu-Yeol Kim",A crown prince emerges as a leader during the war between Korea and Japan in 1592.,"Korean, Japanese",South Korea,https://m.media-amazon.com/images/M/MV5BYjJkZTFhMTItZDE3NC00ODE0LTg1NWItOWUwNzA1MzczYTE4XkEyXkFqcGdeQXVyNDcyMjQ4MzU@._V1_SX300.jpg,,
John Wick: Chapter 2,2017,R,10 Feb 2017,122 min,"Action, Crime, Thriller",Chad Stahelski,Derek Kolstad,"Keanu Reeves, Riccardo Scamarcio, Ian McShane","After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.","English, Italian, Russian, Sign , Hebrew","United States, Italy, Hong Kong, Canada",https://m.media-amazon.com/images/M/MV5BMjE2NDkxNTY2M15BMl5BanBnXkFtZTgwMDc2NzE0MTI@._V1_SX300.jpg,,
Earth: One Amazing Day,2017,G,06 Oct 2017,95 min,"Documentary, Family","Richard Dale, Lixin Fan, Peter Webber","Frank Cottrell Boyce, Richard Dale, Geling Yan","Robert Redford, Jackie Chan","From BBC Earth Films, the studio that brought you Earth, comes the sequel - Earth: One Amazing Day, an astonishing journey revealing the awesome power of the natural world. Over the course of one single day, we track the sun from ...","English, Chinese","United Kingdom, China",https://m.media-amazon.com/images/M/MV5BYmZhYzY2NjItZjFkMy00ZDcyLTk5NTYtNDgwOGQ1YjdiZGZjXkEyXkFqcGdeQXVyMjQzOTEyMzY@._V1_SX300.jpg,,
